http://www.holdemhelpem.com/statistics/pocketrank.html

       1 Opp  2 Opp	      3 Opp 4 Opp	5 Opp	6 Opp	7 Opp	8 Opp	9 Opp	10 Opp
121    J2o    96o	      T6o   93s		Q5o	K3o	76o	83s	62s	32s
122    T5o    64s	      86o   Q4o		76o	76o	42s	J7o	K5o	K6o
123    75s    86o	      96o   T6o		K2o	73s	92s	K4o	32s	82s
124    94s    76o	      53s   43s		86o	92s	83s	Q7o	82s	65o
125    T4o    94s	      Q3o   63s		73s	86o	Q6o	62s	65o	86o
126    65s    J4o	      J5o   J6o		92s	Q5o	K3o	32s	86o	K5o
127    86o    74s	      93s   22		52s	83s	86o	82s	J7o	72s
128    93s    84s	      22    96o		Q4o	42s	62s	86o	K4o	54o
129    84s    93s	      63s   92s		T6o	K2o	82s	65o	Q7o	J7o
130    95o    J3o	      Q2o   73s		96o	82s	65o	K3o	72s	Q7o
131    T3o    T5o	      J4o   J5o		J6o	65o	32s	Q6o	54o	K4o
132    76o    53s	      43s   Q3o		83s	62s	Q5o	72s	75o	75o
133    92s    92s	      92s   52s		65o	T6o	K2o	54o	K3o	96o
134    74s    65o	      65o   65o		42s	96o	96o	Q5o	Q6o	Q6o
135    54s    95o	      73s   83s		82s	Q4o	72s	75o	96o	K3o
136    64s    J2o	      83s   75o		Q3o	J6o	T6o	K2o	Q5o	T6o
137    T2o    63s	      75o   Q2o		J5o	32s	54o	96o	T6o	64o
138    85o    75o	      T5o   82s		75o	75o	75o	T6o	K2o	Q5o
139    83s    T4o	      85o   J4o		62s	72s	Q4o	Q4o	64o	K2o
140    75o    85o	      J3o   42s		54o	54o	J6o	J6o	J6o	53o
141    94o    73s	      52s   85o		32s	J5o	J5o	64o	Q4o	85o
142    65o    83s	      82s   62s		Q2o	Q3o	Q3o	85o	85o	J6o
143    82s    43s	      95o   54o		72s	85o	85o	J5o	53o	Q4o
144    73s    82s	      T4o   T5o		J4o	Q2o	64o	Q3o	J5o	J5o
145    53s    T3o	      54o   95o		85o	J4o	Q2o	53o	Q3o	Q3o
146    93o    54o	      J2o   J3o		T5o	64o	J4o	Q2o	J4o	74o
147    63s    52s	      42s   72s		95o	T5o	T5o	J4o	74o	43o
148    84o    64o	      62s   32s		J3o	95o	53o	T5o	Q2o	T5o
149    92o    T2o	      72s   T4o		64o	J3o	95o	95o	T5o	J4o
150    43s    62s	      64o   64o		T4o	53o	J3o	74o	95o	95o
151    74o    94o	      T3o   J2o		J2o	T4o	74o	J3o	43o	Q2o
152    54o    74o	      74o   T3o		74o	74o	T4o	T4o	J3o	J3o
153    64o    42s	      32s   74o		53o	J2o	J2o	43o	T4o	T4o
154    72s    72s	      84o   53o		T3o	T3o	43o	J2o	63o	63o
155    52s    84o	      T2o   84o		84o	43o	T3o	T3o	J2o	52o
156    62s    93o	      94o   T2o		T2o	84o	84o	63o	T3o	84o
157    83o    32s	      53o   94o		94o	T2o	63o	84o	84o	J2o
158    42s    53o	      93o   93o		43o	63o	T2o	52o	52o	T3o
159    82o    92o	      63o   43o		63o	94o	94o	T2o	T2o	T2o
160    73o    63o	      43o   63o		93o	52o	52o	94o	94o	42o
161    53o    43o	      92o   73o		52o	93o	73o	73o	42o	94o
162    63o    73o	      73o   92o		73o	73o	93o	42o	73o	73o
163    32s    83o	      83o   52o		92o	92o	42o	93o	93o	93o
164    43o    82o	      52o   83o		83o	42o	92o	92o	62o	32o
165    72o    52o	      82o   82o		42o	83o	83o	83o	83o	62o
166    52o    62o	      42o   42o		82o	62o	62o	62o	92o	83o
167    62o    42o	      62o   62o		62o	82o	32o	32o	32o	92o
168    42o    72o	      72o   72o		32o	32o	82o	82o	82o	82o
169    32o    32o	      32o   32o		72o	72o	72o	72o	72o	72o
